x,y,area_roof_solar_m2,PV_Pot,has_pv_2024,BeginningOfOperation_Year,heating_system1,energy_source1,update_date
2523292.188189095,1147593.1099649551,200.54367220542855,23055.72330717933,False,-99,Chaudière à cond. pour un bât.,Gaz,2019
2523303.4244370046,1147495.4097881848,186.9859679238112,20402.860434080427,False,-99,Chaudière (gén.) pour un bât.,Mazout,2003
2523510.3949155053,1147468.8100607982,253.7422152380621,27394.493008655096,False,-99,Chaudière (gén.) pour un bât.,Mazout,2013
2524419.263430581,1148702.8114629607,304.533877414523,34570.63703867626,False,-99,Chaudière à cond. pour un bât.,Gaz,2018
2524514.9867655714,1148678.7292586777,543.074977006891,64388.70711386343,False,-99,Pompe à chaleur pour plus. bât.,Indéterminé,2008
2524461.185732012,1148670.7502725655,543.074977009434,64436.75838813071,False,-99,Pompe à chaleur pour plus. bât.,Air,2017
2524492.4954854776,1148713.7603694955,179.634768669461,19163.149706028235,False,-99,Chaudière à cond. pour un bât.,Gaz,2018
2524356.4532550313,1148674.6181692542,359.323603534824,40681.75119587951,False,-99,Chaudière à cond. pour un bât.,Gaz,2018
2524494.604077837,1148123.2011438112,512.016462344301,58042.22891444856,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524354.549290601,1149096.11418126,141.6384000378087,17663.135595459913,False,-99,Chaudière (gén.) pour un bât.,Gaz,2004
2524590.6355377897,1148290.239842479,736.7681830236556,91660.14326295722,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523942.060312307,1147901.1291122707,461.87903264892,58883.51805622444,False,-99,Chaudière (gén.) pour un bât.,Gaz,2015
2523921.4794348734,1147909.1051528607,157.7840298232397,18641.523601478635,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2523931.77239845,1148045.1605109042,230.91371589189683,26612.273566920147,False,-99,Chaudière (gén.) pour un bât.,Gaz,2004
2523936.1036263825,1148008.859685073,247.68660563923453,28017.09307322223,False,-99,Chaudière (gén.) pour un bât.,Gaz,2004
2524095.430317125,1147885.6093584113,184.8125114569217,19371.846499306208,False,-99,Chaudière (gén.) pour un bât.,Mazout,2014
2524079.9925974593,1147960.5805498015,283.5792011684626,34314.3630004246,False,-99,Chaudière (gén.) pour un bât.,Mazout,2005
2524211.399832785,1147880.5072545502,442.5964929998645,45908.13220837067,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2008
2524163.1587754707,1147930.8069305208,198.3028802169334,23222.15629460027,False,-99,Pompe à chaleur pour un bât.,Sonde géothermique,2017
2524084.613974786,1148311.2395888986,197.4401868530828,24617.720091349496,False,-99,Chaudière (gén.) pour un bât.,Gaz,2014
2523785.46160837,1148062.314751615,250.487355622574,30030.937428443296,False,-99,Chaudière à cond. pour un bât.,Mazout,2022
2524836.49332201,1148545.2107028882,194.5767417508918,22732.17223424213,False,-99,Chaudière (gén.) pour un bât.,Mazout,2017
2525023.4410934504,1148803.0993772373,397.0800808318168,33194.05674728995,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524798.311629206,1148678.0030380927,368.097490795519,50817.03171891358,False,-99,Chaudière à cond. pour un bât.,Gaz,2021
2524870.4172671894,1148539.1275191463,302.9771104797565,36570.32483816847,False,-99,Chaudière à cond. pour un bât.,Gaz,2019
2524827.1542656682,1148636.8117362713,362.396118210886,49839.48824438258,False,-99,Chaudière à cond. pour un bât.,Gaz,2021
2524851.700996484,1148537.915641557,187.21229316017448,23207.5149343874,False,-99,Central électrique pour un bât.,Electricité,2001
2524882.997325104,1148774.3004445196,406.20066928011,55450.78300018351,False,-99,Chaudière à cond. pour un bât.,Gaz,2021
2524722.850324958,1148348.8494971548,531.6453182105244,60355.39911038381,False,-99,Chaudière (gén.) pour un bât.,Gaz,2011
2524883.344635401,1147977.0318080664,121.82891554300778,12937.529666692792,False,-99,Electrique direct,Electricité,2001
2524204.597282921,1148716.0486556925,461.217787540454,58044.99458282241,False,-99,Chaudière à cond. pour un bât.,Gaz,2020
2523268.9756643916,1147484.474996967,185.7667518162137,21897.84559124657,False,-99,Chaudière (gén.) pour un bât.,Gaz,2006
2523472.758535033,1149227.950881771,215.2629400391119,24236.55768988585,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524395.2850978463,1147988.091973794,191.301832466597,20991.779638758653,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2010
2523943.8406319763,1148025.261522186,251.89970911608629,30231.1660020237,False,-99,Chaudière (gén.) pour un bât.,Gaz,2007
2523947.39220153,1148074.368066956,270.8575351679831,32316.22264969109,False,-99,Chaudière à cond. pour un bât.,Gaz,2018
2524034.3628026526,1147829.547280218,407.8232601649539,48407.48933864802,False,-99,Chaudière (gén.) pour un bât.,Gaz,2017
2524024.79963439,1148078.2779368088,206.62534916220525,25452.282219436027,True,2022,Pompe à chaleur pour un bât.,Air,2023
2524088.197814723,1148214.8773910652,235.8664218413374,27050.306135391707,False,-99,Chaudière stand. pour un bât.,Mazout,2021
2524099.5254322123,1148238.8591226938,230.8177760191559,26587.241549710427,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524115.601793101,1148212.4972193968,239.04128194301495,27547.749744985875,False,-99,Chaudière (gén.) pour un bât.,Mazout,2023
2524117.789378319,1147927.525426218,492.155782833213,57817.38905098845,False,-99,Chaudière (gén.) pour un bât.,Mazout,2009
2524077.1896011126,1147898.715405099,140.9592893017019,15420.962482422405,False,-99,Central électrique pour un bât.,Electricité,2001
2524211.2658087662,1148030.1697015364,620.901702018271,59336.45696662331,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524196.0700022303,1148110.7135252892,227.31302277027456,26277.82702847781,False,-99,Chaudière (gén.) pour un bât.,Gaz,2008
2524477.8220177027,1148246.396296136,108.3989457190367,13751.385550937375,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2525086.5102865193,1148907.1477298227,673.146428108186,82860.74811468943,False,-99,Pompe à chaleur pour plus. bât.,Indéterminé,2022
2524754.2142276047,1148417.4612044753,215.110889460164,26792.144953750023,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524806.3490398275,1148282.8533508496,220.6016371009353,22582.359178617862,False,-99,Chaudière (gén.) pour un bât.,Mazout,2017
2524747.910204037,1148292.477369942,133.98959961916904,15011.467334166324,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524715.587401488,1148314.0851250705,172.8863151670478,20295.64355673281,False,-99,Chaudière à cond. pour plus. bât.,Gaz,2021
2524688.50695904,1148529.5179565973,475.4429965407949,63454.40143662952,False,-99,Chaudière à cond. pour un bât.,Mazout,2021
2524954.185164787,1148736.0316165725,257.6699358356186,29659.115916792285,False,-99,Central électrique pour un bât.,Electricité,2001
2524660.4363261135,1148433.7178782762,138.5439596181449,15697.515862694843,False,-99,Chaudière (gén.) pour un bât.,Gaz,2014
2524615.6216372587,1149113.827723861,132.9857956671338,16803.823305299615,False,-99,Chaudière (gén.) pour un bât.,Mazout,2022
2524187.008219116,1148670.2552212588,467.6089337594422,57817.38905098845,False,-99,Chaudière à cond. pour un bât.,Gaz,2020
2524083.347003453,1148106.408040433,213.521266196485,24716.592257609016,True,2018,Central électrique pour un bât.,Electricité,2001
2524470.3406524723,1148051.7624612185,377.922367881965,48429.53425720058,False,-99,Chaudière à cond. pour un bât.,Gaz,2021
2524038.926694473,1148104.8649237968,160.4596670730781,19762.53916773744,True,2023,Pompe à chaleur pour un bât.,Indéterminé,2001
2524131.931951156,1148812.6795627591,87.41129952995331,10183.101732542193,False,-99,Chaudière (gén.) pour un bât.,Mazout,2009
2523981.147406952,1147806.5801627096,109.4777918212938,12975.83739021336,True,2016,Chaudière (gén.) pour un bât.,Gaz,2001
2524132.2293558405,1147874.2915932406,133.97089202621984,16171.921259229644,True,2017,Pompe à chaleur pour un bât.,Indéterminé,2021
2524318.3631142853,1148201.9266592865,137.37355262912624,15922.84029771038,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524299.3737626458,1148176.3050922628,209.4750998518329,23658.219586802625,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2525111.404291511,1150090.6628165962,293.8586737169201,36951.29605622352,False,-99,Chaudière stand. pour un bât.,Mazout,2019
2525023.299130043,1148963.5356291067,649.266246777005,85829.91451274727,False,-99,Chaudière à cond. pour un bât.,Gaz,2018
2523699.433466842,1147942.946471164,211.26163813673068,23754.67271287619,True,2022,Chaudière stand. pour un bât.,Mazout,2020
2523642.27894573,1148039.217739628,233.2408396150855,27949.374661103226,False,-99,Central électrique pour un bât.,Electricité,2017
2523565.698288595,1148007.9607389516,299.35013540496266,33698.968711104244,False,-99,Chaudière (gén.) pour un bât.,Gaz,2017
2524860.7067080373,1149510.298382086,255.6385852835548,32823.43406163035,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523702.4343331736,1147814.239825798,465.53619281077647,62783.500922372696,False,-99,Pompe à chaleur pour un bât.,Sonde géothermique,2018
2524077.242929528,1149100.0014126303,250.5434569834026,27587.07031787393,True,2015,Pompe à chaleur pour un bât.,Indéterminé,2021
2524423.383346863,1149076.482153139,151.9987980516543,17945.409939112025,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2018
2523809.068199576,1147810.5353614842,543.1688394398159,66741.51966354979,False,-99,Chaudière (gén.) pour un bât.,Gaz,2017
2523890.531263109,1147574.7215806514,155.4961019505812,18542.015136388385,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523354.5189576475,1147444.738963667,226.717223514976,25573.931848062384,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523322.9996571857,1147455.3103043619,321.5241886745231,40820.08515603772,False,-99,Chaudière à cond. pour un bât.,Mazout,2020
2523394.159543514,1149586.689258568,260.0120549377332,34063.80806976272,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523494.7550999494,1147725.4905371352,366.2302267366252,44993.471096981855,False,-99,Chaudière (gén.) pour un bât.,Gaz,2017
2523919.322889419,1147631.7298678716,270.3320898979908,32222.01530256309,False,-99,Central électrique pour un bât.,Electricité,2001
2524524.3937106594,1148131.583047554,111.252554338365,13072.298376290904,True,2023,Chaudière (gén.) pour un bât.,Gaz,2017
2524403.7928725746,1148052.9404469158,155.6161568639159,17314.931319854204,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
